id,username,is active,followers in list,weight
757611408,MylesMcNulty,1,8,0.204988415
1893876982666211328,DannyRose143,1,8,0.204988415
103468877,zero_chance009,1,8,0.204988415
3123374926,Smudgedann,1,8,0.204988415
1217924547619491840,Ebubechi_GMI,1,7,0.179364863
188371200,qqquint,1,7,0.179364863
1542399151811575809,0xMrMarx,1,7,0.179364863
2803216711,BlueWolfNFTs,1,7,0.179364863
1257659599810953218,CoinLiquidity,1,6,0.153741311
913274240,rick_shares,1,6,0.153741311
567839621,KeatlyKHZ,1,6,0.153741311
1532590000117886976,rosauce39,1,6,0.153741311
1889845800769036288,0000ALCI,1,6,0.153741311
1360925036576714752,kriptomete_,1,5,0.128117759
977215039458430976,CopperHQ,1,5,0.128117759
1544044068413521922,cryptosanthoshK,1,5,0.128117759
1460671846055960576,Cryptoo_Gems,1,5,0.128117759
1355277334534909952,chain_broker,1,5,0.128117759
1083147769,Robin25461631,1,5,0.128117759
1484423690045607936,heroman0x,1,5,0.128117759
555634740,Phyrex_Ni,1,5,0.128117759
