id,username,is active,followers in list,weight
1405656630872662019,opentensor,1,74,4.513672954
1626325301432135684,const_reborn,1,74,4.513672954
396045469,BarrySilbert,1,67,3.888612902
14975417,mogmachine,1,66,3.801880062
11392102,markjeffrey,1,63,3.545629343
1648999932,JosephJacks_,1,62,3.461545488
504826591,KeithSingery,1,61,3.378137022
1177443218,Old_Samster,1,60,3.295409462
1849591551699070976,YumaGroup,1,58,3.132019801
1530428929021988864,CryptoZPunisher,1,58,3.132019801
1821262078956498944,rayon_labs,1,57,3.051369439
1213108802314072065,mikecontango,1,57,3.051369439
215615595,SiamKidd,1,55,2.892188154
1413356962058842118,kenjonmiyachi,1,55,2.892188154
897485079068495873,mxmsbt,1,54,2.813669925
1362626253610770432,bittingthembits,1,54,2.813669925
959942670796951552,fish_datura,1,53,2.735875392
1786390915,here4impact,1,53,2.735875392
1841514180517728256,CrucibleLabs,1,53,2.735875392
1056304242812743680,DreadBong0,1,52,2.658811351
2436422761,DistStateAndMe,1,52,2.658811351
1764410143217700864,MacrocosmosAI,1,51,2.582484793
1662165153855717376,ridges_ai,1,51,2.582484793
8287602,jaltucher,1,50,2.506902914
3951601093,0xarrash,1,50,2.506902914
1166086993404682240,EvanMalanga,1,49,2.432073125
23140469,DavFields,1,48,2.358003062
1726781910389526528,macrocrux,1,47,2.284700599
710127308443529216,TAOTemplar,1,46,2.21217386
1440493422947622913,pgpsam,1,45,2.140431232
1702053827325968384,taoshiio,1,44,2.069481381
17486417,markcreaser,1,44,2.069481381
1367192616165588994,xavi3rlu,1,43,1.999333266
1876342133193682944,_taofi_,1,42,1.929996157
1061595929189314560,ch_egan,1,42,1.929996157
3322996666,DrocksAlex2,1,40,1.793793706
1708335106740617216,micaelabazo,1,40,1.793793706
913744615,rob_svrn,1,40,1.793793706
1797824936075042816,Lazz_eth,1,39,1.72694863
1861674812688547840,metanova_labs,1,39,1.72694863
1776031405941706752,learnbittensor,1,39,1.72694863
1367161303895330816,angad_ai,1,39,1.72694863
1178820758786756614,tseutseutao,1,37,1.595824377
1570221379462766593,21RoundTable,1,37,1.595824377
1772695420109484032,mentatminds,1,37,1.595824377
1899811098011865088,simplytao_,1,37,1.595824377
1879471914965766144,BackpropFinance,1,36,1.531567916
1923028364178100224,dsvfund,1,36,1.531567916
1729862200217698304,taofuxyz,1,35,1.468197821
1223756024617873408,LukitaTao,1,35,1.468197821
950943354061185025,FrankRizz07,1,35,1.468197821
1636326261667536896,Neuralteq,1,35,1.468197821
47991533,ExponentialReed,1,34,1.405726669
76934637,TaoIsTheKey,1,33,1.344167587
1648650821385564160,proofoftalk,1,33,1.344167587
788680540727578624,RahulKumaran4,1,33,1.344167587
1708686339455991808,AutoppiaAI,1,33,1.344167587
2800345565,Grayscale,1,32,1.283534292
1796385365978177536,bittensorai,1,32,1.283534292
1488668457906409475,allan_quantifi,1,32,1.283534292
1038788983382265861,Raleigh_CA,1,32,1.283534292
